	Cell Line HMS LINCS ID	Cell Line Name	Protein HMS LINCS ID	Protein Name	Ligand Concentration	Conc unit	Measured pAkt:10min log10(a.u.)	Measured pAkt:30min log10(a.u.)	Measured pAkt:90min log10(a.u.)	Measured pErk:10min log10(a.u.)	Measured pErk:30min log10(a.u.)	Measured pErk:90min log10(a.u.)	Control pAkt (a.u.)	Control pErk (a.u.)
189	50214	HCC202	200850.0	EGF	100.0	ng/ml	4.82790927837	4.79098716799	4.79672446492	4.72612843153	4.57624767304	4.35066545771	4.72998614978	3.54027027154
190	50216	HCC38	200850.0	EGF	1.0	ng/ml	3.79991729543	3.75533187686	3.71461774066	4.52170823096	4.44398506851	4.33278242629	3.50743702069	2.84395247473
191	50216	HCC38	200850.0	EGF	100.0	ng/ml	4.14258047613	4.08049892124	3.716545122	4.7407770377	4.62581575556	4.15782746775	3.50743702069	2.84395247473
192	50219	HCC70	200850.0	EGF	1.0	ng/ml	4.40741437784	4.44579262129	4.48800503814	4.36069701471	4.15561071018	4.19661534399	3.99103920023	2.70533933577
193	50219	HCC70	200850.0	EGF	100.0	ng/ml	4.5707972079	4.6654375845	4.59892105991	4.65694229009	4.35833174027	4.09400496407	3.99103920023	2.70533933577
194	50238	Hs 578T	200850.0	EGF	1.0	ng/ml	4.38215426516	4.29199248986	4.34231770706	4.57284044568	4.39744386531	4.28052571921	3.57767811586	3.63801456835
195	50238	Hs 578T	200850.0	EGF	100.0	ng/ml	4.94895874312	4.898611647	4.50944752706	4.83243245099	4.73613355101	4.1756286049	3.57767811586	3.63801456835
196	50327	MDA-MB-134-VI	200850.0	EGF	1.0	ng/ml	2.92542606595	2.92542606595	2.92542606595	3.30239522376	3.03366978599	3.29465753813	2.92542606595	3.16092149777
197	50327	MDA-MB-134-VI	200850.0	EGF	100.0	ng/ml	2.92542606595	2.92542606595	2.92542606595	3.09070235121	3.10711393924	3.27254287851	2.92542606595	3.16092149777
198	50328	MDA-MB-157	200850.0	EGF	1.0	ng/ml	3.2184506861	3.20968065825	3.02935617679	3.98522221334	4.13584802734	4.07179742206	3.02935617679	2.4021874171
199	50328	MDA-MB-157	200850.0	EGF	100.0	ng/ml	3.83925531221	3.48306425988	3.20629738778	4.38579139014	4.24282308177	3.81884679428	3.02935617679	2.4021874171
200	50329	MDA-MB-175-VII	200850.0	EGF	1.0	ng/ml	4.14870899458	4.13588433217	4.07092226095	4.48495598246	4.44515381347	4.46023925978	4.10201687803	4.3688720348
201	50329	MDA-MB-175-VII	200850.0	EGF	100.0	ng/ml	4.18197931233	4.17941214534	4.0272206052	4.56659316211	4.5791833642	4.54104989339	4.10201687803	4.3688720348
202	50331	MDA-MB-361	200850.0	EGF	1.0	ng/ml	3.38281695706	3.38442492434	3.3875871719	3.08663455961	2.63374510393	2.22055261987	3.26566081019	2.39855106522
203	50331	MDA-MB-361	200850.0	EGF	100.0	ng/ml	3.45378098417	3.49577557594	3.49322752794	3.56899353056	3.43005230773	2.22055261987	3.26566081019	2.39855106522
204	50332	MDA-MB-415	200850.0	EGF	1.0	ng/ml	4.42815584384	4.46113623354	4.51540404852	2.96156441133	1.63785982283	1.63785982283	4.39410824228	1.9022857981
205	50332	MDA-MB-415	200850.0	EGF	100.0	ng/ml	4.21469512969	4.52146110742	4.5806193802	2.28312476072	1.63785982283	2.43498384018	4.39410824228	1.9022857981
